Organization legal name or 'doing business as' name,Group PAC ID,State,Measure Identifier,Measure Title,Measure Performance Rate,Denominator Count,Footnote
THE MEDICAL COLLEGE OF WISCONSIN INC,2668384371,WI,CAHPS_GRP_5,Health promotion and education.,60,245,
THE MEDICAL COLLEGE OF WISCONSIN INC,2668384371,WI,CAHPS_GRP_8,Courteous and helpful office staff.,84,203,
THE MEDICAL COLLEGE OF WISCONSIN INC,2668384371,WI,CAHPS_GRP_9,Clinicians working together for your care.,75,243,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,301,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_10,Between visit communication.,64,217,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_12,Attention to patient medicine cost.,29,309,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_2,How well clinicians communicate.,79,303,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_3,Patients' rating of clinicians.,74,300,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_5,Health promotion and education.,62,325,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_8,Courteous and helpful office staff.,83,299,
"THE LONGSTREET CLINIC, PC",2668465733,GA,CAHPS_GRP_9,Clinicians working together for your care.,76,325,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,291,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_10,Between visit communication.,63,200,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_12,Attention to patient medicine cost.,30,306,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_2,How well clinicians communicate.,81,291,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_3,Patients' rating of clinicians.,79,287,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_5,Health promotion and education.,63,323,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_8,Courteous and helpful office staff.,84,289,
COVENANT MEDICAL CENTER INC,2769387778,MI,CAHPS_GRP_9,Clinicians working together for your care.,72,321,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_1,"Getting timely care, appointments, and information.",68,217,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_10,Between visit communication.,59,158,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_12,Attention to patient medicine cost.,23,223,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_2,How well clinicians communicate.,87,215,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_3,Patients' rating of clinicians.,84,195,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_5,Health promotion and education.,67,240,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_8,Courteous and helpful office staff.,86,197,
UNIVERSITY OF MARYLAND PHYSICIANS PA,2769394808,MD,CAHPS_GRP_9,Clinicians working together for your care.,79,236,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,225,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_10,Between visit communication.,58,133,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_12,Attention to patient medicine cost.,23,224,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_2,How well clinicians communicate.,85,225,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_3,Patients' rating of clinicians.,82,221,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_5,Health promotion and education.,59,246,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_8,Courteous and helpful office staff.,80,219,
EINSTEIN PRACTICE PLAN INC,2769395896,PA,CAHPS_GRP_9,Clinicians working together for your care.,72,243,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,301,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_10,Between visit communication.,60,174,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_12,Attention to patient medicine cost.,29,332,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_2,How well clinicians communicate.,84,301,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_3,Patients' rating of clinicians.,84,301,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_5,Health promotion and education.,66,348,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_8,Courteous and helpful office staff.,80,307,
"CORE PHYSICIANS, LLC",2769563253,NH,CAHPS_GRP_9,Clinicians working together for your care.,76,349,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_1,"Getting timely care, appointments, and information.",49,267,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_10,Between visit communication.,77,175,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_12,Attention to patient medicine cost.,21,318,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_2,How well clinicians communicate.,80,269,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_3,Patients' rating of clinicians.,76,247,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_5,Health promotion and education.,64,334,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_8,Courteous and helpful office staff.,79,251,
"DAVITA MEDICAL GROUP COLORADO SPRINGS, LLC",2769706431,CO,CAHPS_GRP_9,Clinicians working together for your care.,73,326,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,295,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_10,Between visit communication.,61,226,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_12,Attention to patient medicine cost.,25,317,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_2,How well clinicians communicate.,86,296,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_3,Patients' rating of clinicians.,87,282,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_5,Health promotion and education.,60,324,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_8,Courteous and helpful office staff.,88,282,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,OK,CAHPS_GRP_9,Clinicians working together for your care.,78,323,
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",68,124,
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_10,Between visit communication.,,,4
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_12,Attention to patient medicine cost.,,,4
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_2,How well clinicians communicate.,,,4
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_5,Health promotion and education.,,,4
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_8,Courteous and helpful office staff.,89,114,
THE ORTHOPAEDIC INSTITUTE,2860385242,FL,CAHPS_GRP_9,Clinicians working together for your care.,,,4
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,312,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_10,Between visit communication.,54,231,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_12,Attention to patient medicine cost.,32,316,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_2,How well clinicians communicate.,85,315,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_3,Patients' rating of clinicians.,83,305,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_5,Health promotion and education.,63,325,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_8,Courteous and helpful office staff.,84,307,
"SUMMIT MEDICAL GROUP, PLLC",2860396330,TN,CAHPS_GRP_9,Clinicians working together for your care.,80,321,
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,159,
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_10,Between visit communication.,63,114,
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_12,Attention to patient medicine cost.,,,4
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_2,How well clinicians communicate.,,,4
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_5,Health promotion and education.,68,191,
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_8,Courteous and helpful office staff.,,,4
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,CAHPS_GRP_9,Clinicians working together for your care.,,,4
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,306,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_10,Between visit communication.,50,218,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_12,Attention to patient medicine cost.,28,324,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_2,How well clinicians communicate.,84,308,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_3,Patients' rating of clinicians.,79,295,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_5,Health promotion and education.,62,341,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_8,Courteous and helpful office staff.,86,297,
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV,CAHPS_GRP_9,Clinicians working together for your care.,76,343,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_10,Between visit communication.,57,201,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_12,Attention to patient medicine cost.,33,298,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_2,How well clinicians communicate.,85,299,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_3,Patients' rating of clinicians.,81,277,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_5,Health promotion and education.,49,312,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_8,Courteous and helpful office staff.,83,280,
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR,CAHPS_GRP_9,Clinicians working together for your care.,79,312,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,177,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_10,Between visit communication.,,,4
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_12,Attention to patient medicine cost.,21,196,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_2,How well clinicians communicate.,,,4
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_5,Health promotion and education.,59,208,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_8,Courteous and helpful office staff.,80,169,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,IL,CAHPS_GRP_9,Clinicians working together for your care.,,,4
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,267,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_10,Between visit communication.,50,181,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_12,Attention to patient medicine cost.,31,272,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_2,How well clinicians communicate.,85,264,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_3,Patients' rating of clinicians.,83,264,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_5,Health promotion and education.,59,284,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_8,Courteous and helpful office staff.,76,264,
SPARTANBURG MEDICAL CENTER,3072425297,SC,CAHPS_GRP_9,Clinicians working together for your care.,76,283,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,313,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_10,Between visit communication.,55,196,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_12,Attention to patient medicine cost.,26,323,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_2,How well clinicians communicate.,81,313,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_3,Patients' rating of clinicians.,77,302,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_5,Health promotion and education.,68,346,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_8,Courteous and helpful office staff.,85,302,
"THE MONROE CLINIC, INC.",3072425495,WI,CAHPS_GRP_9,Clinicians working together for your care.,82,342,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",47,275,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_10,Between visit communication.,60,191,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_12,Attention to patient medicine cost.,20,271,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_2,How well clinicians communicate.,80,272,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_3,Patients' rating of clinicians.,77,261,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_5,Health promotion and education.,59,292,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_8,Courteous and helpful office staff.,76,264,
FACEY MEDICAL FOUNDATION,3173436276,CA,CAHPS_GRP_9,Clinicians working together for your care.,73,295,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,280,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_10,Between visit communication.,72,184,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_12,Attention to patient medicine cost.,25,308,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_2,How well clinicians communicate.,83,280,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_3,Patients' rating of clinicians.,85,262,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_5,Health promotion and education.,54,319,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_8,Courteous and helpful office staff.,80,260,
THE VANCOUVER CLINIC INC PS,3173436490,WA,CAHPS_GRP_9,Clinicians working together for your care.,77,318,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",67,267,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_10,Between visit communication.,63,183,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_12,Attention to patient medicine cost.,26,267,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_2,How well clinicians communicate.,90,261,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_3,Patients' rating of clinicians.,92,249,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_5,Health promotion and education.,64,278,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_8,Courteous and helpful office staff.,85,251,
"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC",3173660776,NY,CAHPS_GRP_9,Clinicians working together for your care.,78,280,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",56,325,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_10,Between visit communication.,51,218,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_12,Attention to patient medicine cost.,29,327,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_2,How well clinicians communicate.,79,323,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_3,Patients' rating of clinicians.,77,303,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_5,Health promotion and education.,66,345,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_8,Courteous and helpful office staff.,78,307,
RIVERSIDE HEALTH SYSTEM,3274434717,IL,CAHPS_GRP_9,Clinicians working together for your care.,73,341,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,180,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_10,Between visit communication.,54,122,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_12,Attention to patient medicine cost.,17,198,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_2,How well clinicians communicate.,83,180,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_3,Patients' rating of clinicians.,81,166,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_5,Health promotion and education.,64,203,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_8,Courteous and helpful office staff.,83,165,
DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,3274445796,NY,CAHPS_GRP_9,Clinicians working together for your care.,77,203,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,276,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_10,Between visit communication.,50,180,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_12,Attention to patient medicine cost.,30,279,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_2,How well clinicians communicate.,82,276,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_3,Patients' rating of clinicians.,76,261,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_5,Health promotion and education.,58,288,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_8,Courteous and helpful office staff.,77,261,
ADVENTIST HEALTH PHYSICIANS NETWORK,3274580972,CA,CAHPS_GRP_9,Clinicians working together for your care.,71,287,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",52,253,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_10,Between visit communication.,53,177,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_12,Attention to patient medicine cost.,31,271,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_2,How well clinicians communicate.,83,253,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_3,Patients' rating of clinicians.,84,241,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_5,Health promotion and education.,60,282,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_8,Courteous and helpful office staff.,84,242,
CAROLINAS PHYSICIANS NETWORK INC,3375449655,NC,CAHPS_GRP_9,Clinicians working together for your care.,78,282,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_10,Between visit communication.,55,115,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_12,Attention to patient medicine cost.,24,205,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_2,How well clinicians communicate.,,,4
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_3,Patients' rating of clinicians.,82,178,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_5,Health promotion and education.,61,224,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_8,Courteous and helpful office staff.,86,180,
REGENTS OF THE UNIV OF CA,3375456619,CA,CAHPS_GRP_9,Clinicians working together for your care.,77,220,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_10,Between visit communication.,59,149,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_12,Attention to patient medicine cost.,27,234,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_2,How well clinicians communicate.,83,217,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_3,Patients' rating of clinicians.,82,199,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_5,Health promotion and education.,64,247,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_8,Courteous and helpful office staff.,85,201,
UNIVERSITY OF TEXAS MEDICAL BRANCH FACULTY GROUP PRACTICE,3375456734,TX,CAHPS_GRP_9,Clinicians working together for your care.,75,247,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,339,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_10,Between visit communication.,51,243,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_12,Attention to patient medicine cost.,39,339,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_2,How well clinicians communicate.,87,339,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_3,Patients' rating of clinicians.,87,317,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_5,Health promotion and education.,62,356,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_8,Courteous and helpful office staff.,88,321,
DEACONESS CLINIC INC,3375610116,IN,CAHPS_GRP_9,Clinicians working together for your care.,80,358,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,319,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_10,Between visit communication.,60,211,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_12,Attention to patient medicine cost.,20,329,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_2,How well clinicians communicate.,85,319,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_3,Patients' rating of clinicians.,84,300,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_5,Health promotion and education.,59,348,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_8,Courteous and helpful office staff.,82,301,
AURORA ADVANCED HEALTHCARE INC,3375625833,WI,CAHPS_GRP_9,Clinicians working together for your care.,81,348,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,182,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_10,Between visit communication.,61,120,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_12,Attention to patient medicine cost.,25,200,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_2,How well clinicians communicate.,86,183,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_3,Patients' rating of clinicians.,83,167,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_5,Health promotion and education.,68,209,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_8,Courteous and helpful office staff.,84,166,
THE QUEEN'S MEDICAL CENTER,3476454067,HI,CAHPS_GRP_9,Clinicians working together for your care.,73,208,
