Group Name,Group PAC ID,Measure Performance Rate,Measure Title,State,Year
UNC PHYSICIANS NETWORK,5496940546,67.0,Health promotion and education.,NC,2016
UNC PHYSICIANS NETWORK,5496940546,84.0,Courteous and helpful office staff.,NC,2016
UNC PHYSICIANS NETWORK,5496940546,79.0,Clinicians working together for your care.,NC,2016
HUTCHINSON CLINIC PA INC,5597658492,,"Getting timely care, appointments, and information.",KS,2016
HUTCHINSON CLINIC PA INC,5597658492,44.0,Between visit communication.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,29.0,Attention to patient medicine cost.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,78.0,How well clinicians communicate.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,78.0,Patients' rating of clinicians.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,53.0,Health promotion and education.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,81.0,Courteous and helpful office staff.,KS,2016
HUTCHINSON CLINIC PA INC,5597658492,72.0,Clinicians working together for your care.,KS,2016
"MANKATO CLINIC, LTD.",5597677955,65.0,"Getting timely care, appointments, and information.",MN,2016
"MANKATO CLINIC, LTD.",5597677955,68.0,Between visit communication.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,24.0,Attention to patient medicine cost.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,81.0,How well clinicians communicate.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,77.0,Patients' rating of clinicians.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,62.0,Health promotion and education.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,83.0,Courteous and helpful office staff.,MN,2016
"MANKATO CLINIC, LTD.",5597677955,75.0,Clinicians working together for your care.,MN,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,"Getting timely care, appointments, and information.",OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,Between visit communication.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,Attention to patient medicine cost.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,How well clinicians communicate.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,Patients' rating of clinicians.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,60.0,Health promotion and education.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,Courteous and helpful office staff.,OH,2016
PREMIER HEALTH SPECIALISTS INC,5597708594,,Clinicians working together for your care.,OH,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,66.0,"Getting timely care, appointments, and information.",NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,53.0,Between visit communication.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,23.0,Attention to patient medicine cost.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,86.0,How well clinicians communicate.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,86.0,Patients' rating of clinicians.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,64.0,Health promotion and education.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,86.0,Courteous and helpful office staff.,NY,2016
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,77.0,Clinicians working together for your care.,NY,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,57.0,"Getting timely care, appointments, and information.",VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,57.0,Between visit communication.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,32.0,Attention to patient medicine cost.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,87.0,How well clinicians communicate.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,86.0,Patients' rating of clinicians.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,68.0,Health promotion and education.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,74.0,Courteous and helpful office staff.,VA,2016
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,75.0,Clinicians working together for your care.,VA,2016
MAYO CLINIC - FLORIDA,5698689297,66.0,"Getting timely care, appointments, and information.",FL,2016
MAYO CLINIC - FLORIDA,5698689297,70.0,Between visit communication.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,25.0,Attention to patient medicine cost.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,86.0,How well clinicians communicate.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,85.0,Patients' rating of clinicians.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,62.0,Health promotion and education.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,87.0,Courteous and helpful office staff.,FL,2016
MAYO CLINIC - FLORIDA,5698689297,79.0,Clinicians working together for your care.,FL,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,58.0,"Getting timely care, appointments, and information.",KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,43.0,Between visit communication.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,26.0,Attention to patient medicine cost.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,82.0,How well clinicians communicate.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,82.0,Patients' rating of clinicians.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,57.0,Health promotion and education.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,84.0,Courteous and helpful office staff.,KY,2016
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,75.0,Clinicians working together for your care.,KY,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,55.0,"Getting timely care, appointments, and information.",OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,66.0,Between visit communication.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,27.0,Attention to patient medicine cost.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,86.0,How well clinicians communicate.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,82.0,Patients' rating of clinicians.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,58.0,Health promotion and education.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,78.0,Courteous and helpful office staff.,OK,2016
SOLUTIONS PRACTICE MANAGEMENT,5698840775,79.0,Clinicians working together for your care.,OK,2016
WHEELING HOSPITAL INC,5799689493,60.0,"Getting timely care, appointments, and information.",WV,2016
WHEELING HOSPITAL INC,5799689493,47.0,Between visit communication.,WV,2016
WHEELING HOSPITAL INC,5799689493,35.0,Attention to patient medicine cost.,WV,2016
WHEELING HOSPITAL INC,5799689493,81.0,How well clinicians communicate.,WV,2016
WHEELING HOSPITAL INC,5799689493,78.0,Patients' rating of clinicians.,WV,2016
WHEELING HOSPITAL INC,5799689493,62.0,Health promotion and education.,WV,2016
WHEELING HOSPITAL INC,5799689493,83.0,Courteous and helpful office staff.,WV,2016
WHEELING HOSPITAL INC,5799689493,75.0,Clinicians working together for your care.,WV,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,66.0,"Getting timely care, appointments, and information.",WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,68.0,Between visit communication.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,24.0,Attention to patient medicine cost.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,85.0,How well clinicians communicate.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,85.0,Patients' rating of clinicians.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,57.0,Health promotion and education.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,87.0,Courteous and helpful office staff.,WI,2016
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,80.0,Clinicians working together for your care.,WI,2016
SWEDISHAMERICAN HOSPITAL,5799698346,54.0,"Getting timely care, appointments, and information.",IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,55.0,Between visit communication.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,22.0,Attention to patient medicine cost.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,82.0,How well clinicians communicate.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,81.0,Patients' rating of clinicians.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,62.0,Health promotion and education.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,86.0,Courteous and helpful office staff.,IL,2016
SWEDISHAMERICAN HOSPITAL,5799698346,78.0,Clinicians working together for your care.,IL,2016
UNIVERSITY OF ROCHESTER,5799699088,70.0,"Getting timely care, appointments, and information.",NY,2016
UNIVERSITY OF ROCHESTER,5799699088,49.0,Between visit communication.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,25.0,Attention to patient medicine cost.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,85.0,How well clinicians communicate.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,84.0,Patients' rating of clinicians.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,67.0,Health promotion and education.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,87.0,Courteous and helpful office staff.,NY,2016
UNIVERSITY OF ROCHESTER,5799699088,77.0,Clinicians working together for your care.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,59.0,"Getting timely care, appointments, and information.",NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,46.0,Between visit communication.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,19.0,Attention to patient medicine cost.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,79.0,How well clinicians communicate.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,77.0,Patients' rating of clinicians.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,57.0,Health promotion and education.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,86.0,Courteous and helpful office staff.,NY,2016
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,70.0,Clinicians working together for your care.,NY,2016
REGIONAL SERVICES,5799787784,62.0,"Getting timely care, appointments, and information.",MO,2016
REGIONAL SERVICES,5799787784,53.0,Between visit communication.,MO,2016
REGIONAL SERVICES,5799787784,27.0,Attention to patient medicine cost.,MO,2016
REGIONAL SERVICES,5799787784,83.0,How well clinicians communicate.,MO,2016
REGIONAL SERVICES,5799787784,80.0,Patients' rating of clinicians.,MO,2016
REGIONAL SERVICES,5799787784,59.0,Health promotion and education.,MO,2016
REGIONAL SERVICES,5799787784,83.0,Courteous and helpful office staff.,MO,2016
REGIONAL SERVICES,5799787784,79.0,Clinicians working together for your care.,MO,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,61.0,"Getting timely care, appointments, and information.",WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,57.0,Between visit communication.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,24.0,Attention to patient medicine cost.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,82.0,How well clinicians communicate.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,80.0,Patients' rating of clinicians.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,62.0,Health promotion and education.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,79.0,Courteous and helpful office staff.,WI,2016
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,76.0,Clinicians working together for your care.,WI,2016
HOLZER CLINIC LLC,5890606008,56.0,"Getting timely care, appointments, and information.",OH,2016
HOLZER CLINIC LLC,5890606008,52.0,Between visit communication.,OH,2016
HOLZER CLINIC LLC,5890606008,27.0,Attention to patient medicine cost.,OH,2016
HOLZER CLINIC LLC,5890606008,84.0,How well clinicians communicate.,OH,2016
HOLZER CLINIC LLC,5890606008,81.0,Patients' rating of clinicians.,OH,2016
HOLZER CLINIC LLC,5890606008,63.0,Health promotion and education.,OH,2016
HOLZER CLINIC LLC,5890606008,82.0,Courteous and helpful office staff.,OH,2016
HOLZER CLINIC LLC,5890606008,77.0,Clinicians working together for your care.,OH,2016
EISENHOWER MEDICAL CENTER,5890689657,60.0,"Getting timely care, appointments, and information.",CA,2016
EISENHOWER MEDICAL CENTER,5890689657,56.0,Between visit communication.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,27.0,Attention to patient medicine cost.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,83.0,How well clinicians communicate.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,84.0,Patients' rating of clinicians.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,65.0,Health promotion and education.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,81.0,Courteous and helpful office staff.,CA,2016
EISENHOWER MEDICAL CENTER,5890689657,72.0,Clinicians working together for your care.,CA,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,55.0,"Getting timely care, appointments, and information.",IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,66.0,Between visit communication.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,,Attention to patient medicine cost.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,,How well clinicians communicate.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,,Patients' rating of clinicians.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,66.0,Health promotion and education.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,,Courteous and helpful office staff.,IL,2016
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,70.0,Clinicians working together for your care.,IL,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,59.0,"Getting timely care, appointments, and information.",CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,54.0,Between visit communication.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,23.0,Attention to patient medicine cost.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,84.0,How well clinicians communicate.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,85.0,Patients' rating of clinicians.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,60.0,Health promotion and education.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,77.0,Courteous and helpful office staff.,CA,2016
PROVIDENCE MEDICAL INSTITUTE,5991609737,76.0,Clinicians working together for your care.,CA,2016
MARTINS POINT HEALTHCARE,5991776635,66.0,"Getting timely care, appointments, and information.",ME,2016
MARTINS POINT HEALTHCARE,5991776635,60.0,Between visit communication.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,25.0,Attention to patient medicine cost.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,81.0,How well clinicians communicate.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,78.0,Patients' rating of clinicians.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,60.0,Health promotion and education.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,83.0,Courteous and helpful office staff.,ME,2016
MARTINS POINT HEALTHCARE,5991776635,77.0,Clinicians working together for your care.,ME,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,62.0,"Getting timely care, appointments, and information.",VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,57.0,Between visit communication.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,32.0,Attention to patient medicine cost.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,86.0,How well clinicians communicate.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,84.0,Patients' rating of clinicians.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,60.0,Health promotion and education.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,83.0,Courteous and helpful office staff.,VA,2016
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,79.0,Clinicians working together for your care.,VA,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,,"Getting timely care, appointments, and information.",OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,61.0,Between visit communication.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,30.0,Attention to patient medicine cost.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,86.0,How well clinicians communicate.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,81.0,Patients' rating of clinicians.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,64.0,Health promotion and education.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,88.0,Courteous and helpful office staff.,OH,2016
"LAKE HOSPITAL SYSTEM, INC.",6002713922,76.0,Clinicians working together for your care.,OH,2016
UNMC PHYSICIANS,6002728391,58.0,"Getting timely care, appointments, and information.",NE,2016
UNMC PHYSICIANS,6002728391,58.0,Between visit communication.,NE,2016
UNMC PHYSICIANS,6002728391,25.0,Attention to patient medicine cost.,NE,2016
UNMC PHYSICIANS,6002728391,83.0,How well clinicians communicate.,NE,2016
UNMC PHYSICIANS,6002728391,82.0,Patients' rating of clinicians.,NE,2016
UNMC PHYSICIANS,6002728391,62.0,Health promotion and education.,NE,2016
UNMC PHYSICIANS,6002728391,84.0,Courteous and helpful office staff.,NE,2016
UNMC PHYSICIANS,6002728391,75.0,Clinicians working together for your care.,NE,2016
GUTHRIE MEDICAL GROUP PC,6002728656,58.0,"Getting timely care, appointments, and information.",PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,51.0,Between visit communication.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,22.0,Attention to patient medicine cost.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,83.0,How well clinicians communicate.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,82.0,Patients' rating of clinicians.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,55.0,Health promotion and education.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,85.0,Courteous and helpful office staff.,PA,2016
GUTHRIE MEDICAL GROUP PC,6002728656,77.0,Clinicians working together for your care.,PA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,59.0,"Getting timely care, appointments, and information.",GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,58.0,Between visit communication.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,26.0,Attention to patient medicine cost.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,82.0,How well clinicians communicate.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,82.0,Patients' rating of clinicians.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,62.0,Health promotion and education.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,82.0,Courteous and helpful office staff.,GA,2016
PIEDMONT MEDICAL CARE CORPORATION,6002802220,77.0,Clinicians working together for your care.,GA,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,51.0,"Getting timely care, appointments, and information.",IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,44.0,Between visit communication.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,23.0,Attention to patient medicine cost.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,77.0,How well clinicians communicate.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,74.0,Patients' rating of clinicians.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,55.0,Health promotion and education.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,78.0,Courteous and helpful office staff.,IL,2016
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,69.0,Clinicians working together for your care.,IL,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,63.0,"Getting timely care, appointments, and information.",NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,60.0,Between visit communication.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,26.0,Attention to patient medicine cost.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,87.0,How well clinicians communicate.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,83.0,Patients' rating of clinicians.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,65.0,Health promotion and education.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,83.0,Courteous and helpful office staff.,NY,2016
"HORIZON MEDICAL GROUP, P.C.",6103715529,78.0,Clinicians working together for your care.,NY,2016
CGH MEDICAL CENTER,6103723267,62.0,"Getting timely care, appointments, and information.",IL,2016
CGH MEDICAL CENTER,6103723267,62.0,Between visit communication.,IL,2016
CGH MEDICAL CENTER,6103723267,32.0,Attention to patient medicine cost.,IL,2016
CGH MEDICAL CENTER,6103723267,83.0,How well clinicians communicate.,IL,2016
CGH MEDICAL CENTER,6103723267,79.0,Patients' rating of clinicians.,IL,2016
CGH MEDICAL CENTER,6103723267,56.0,Health promotion and education.,IL,2016
CGH MEDICAL CENTER,6103723267,86.0,Courteous and helpful office staff.,IL,2016
CGH MEDICAL CENTER,6103723267,75.0,Clinicians working together for your care.,IL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,60.0,"Getting timely care, appointments, and information.",FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,57.0,Between visit communication.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,30.0,Attention to patient medicine cost.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,82.0,How well clinicians communicate.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,81.0,Patients' rating of clinicians.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,72.0,Health promotion and education.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,80.0,Courteous and helpful office staff.,FL,2016
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,76.0,Clinicians working together for your care.,FL,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,31.0,"Getting timely care, appointments, and information.",NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,,Between visit communication.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,19.0,Attention to patient medicine cost.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,,How well clinicians communicate.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,,Patients' rating of clinicians.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,53.0,Health promotion and education.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,,Courteous and helpful office staff.,NV,2016
SOUTHWEST MEDICAL ASSOCIATES INC,6103730544,,Clinicians working together for your care.,NV,2016
MERCY HOSPITAL,6103737812,55.0,"Getting timely care, appointments, and information.",ME,2016
MERCY HOSPITAL,6103737812,52.0,Between visit communication.,ME,2016
MERCY HOSPITAL,6103737812,21.0,Attention to patient medicine cost.,ME,2016
MERCY HOSPITAL,6103737812,78.0,How well clinicians communicate.,ME,2016
MERCY HOSPITAL,6103737812,78.0,Patients' rating of clinicians.,ME,2016
MERCY HOSPITAL,6103737812,63.0,Health promotion and education.,ME,2016
MERCY HOSPITAL,6103737812,81.0,Courteous and helpful office staff.,ME,2016
MERCY HOSPITAL,6103737812,73.0,Clinicians working together for your care.,ME,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,59.0,"Getting timely care, appointments, and information.",AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,42.0,Between visit communication.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,19.0,Attention to patient medicine cost.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,76.0,How well clinicians communicate.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,69.0,Patients' rating of clinicians.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,59.0,Health promotion and education.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,73.0,Courteous and helpful office staff.,AZ,2016
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,64.0,Clinicians working together for your care.,AZ,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,59.0,"Getting timely care, appointments, and information.",PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,46.0,Between visit communication.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,25.0,Attention to patient medicine cost.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,85.0,How well clinicians communicate.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,83.0,Patients' rating of clinicians.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,69.0,Health promotion and education.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,82.0,Courteous and helpful office staff.,PA,2016
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,76.0,Clinicians working together for your care.,PA,2016
DECATUR MEMORIAL HOSPITAL,6204731144,62.0,"Getting timely care, appointments, and information.",IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,64.0,Between visit communication.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,32.0,Attention to patient medicine cost.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,80.0,How well clinicians communicate.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,74.0,Patients' rating of clinicians.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,61.0,Health promotion and education.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,82.0,Courteous and helpful office staff.,IL,2016
DECATUR MEMORIAL HOSPITAL,6204731144,73.0,Clinicians working together for your care.,IL,2016
"DOCTORS CARE, PA",6204731300,62.0,"Getting timely care, appointments, and information.",SC,2016
"DOCTORS CARE, PA",6204731300,,Between visit communication.,SC,2016
"DOCTORS CARE, PA",6204731300,30.0,Attention to patient medicine cost.,SC,2016
"DOCTORS CARE, PA",6204731300,79.0,How well clinicians communicate.,SC,2016
"DOCTORS CARE, PA",6204731300,75.0,Patients' rating of clinicians.,SC,2016
"DOCTORS CARE, PA",6204731300,49.0,Health promotion and education.,SC,2016
"DOCTORS CARE, PA",6204731300,79.0,Courteous and helpful office staff.,SC,2016
"DOCTORS CARE, PA",6204731300,73.0,Clinicians working together for your care.,SC,2016
